ID	logFC	logCPM	F	PValue	FDR
uc007ezu.3|Prdm1	2.02703382628325	1.96623821833658	8.34189334918506	0.00916812024708131	0.0142521033262171
uc007xtb.1|Krt80	-1.0562525430606	4.77729888786839	8.24488011201861	0.00918528721156946	0.0142768770952231
uc009ojm.1|Eif3g	-0.291588972711336	5.45517247842335	8.11835854002329	0.00918795861661379	0.0142791165053
uc008bzp.2|Angptl4	0.882930517964303	8.75715698679459	8.44773791182552	0.00919689474176898	0.0142895802653351
uc008esb.1|Pcdh12	1.24154058201877	2.39727779414315	8.21553285246383	0.00919715465151446	0.0142895802653351
uc009ikd.2|Capn5	0.912007495072605	1.71606209282449	8.11341875341786	0.00920628490906558	0.0143018508233884
uc057brt.1|AK054145	1.22368755443523	1.55900554147263	8.1006948785226	0.00925367589873501	0.0143735477179414
uc009ngr.2|Cirh1a	-0.518915921999827	4.69062881418476	8.09827769717488	0.00926270929035052	0.0143856533122657
uc009iam.3|Unc45a	0.250470967649665	5.37921843285235	8.09506128212384	0.00927474465448144	0.0144024173214599
uc012gbs.1|Rab11fip1	0.424924487407643	3.44911964846171	8.09367834747336	0.00927992470745815	0.014408532902534
uc008csq.3|Zfp318	0.268874188287956	5.39748280468583	8.09262660431839	0.00928386635730114	0.0144127242900408
uc008xbe.3|Fgfr3	1.46088231803862	0.314853992513544	8.09100264163233	0.00928995616481309	0.0144202490140905
uc008rvc.2|Negr1	-0.269208038935396	6.33938674437851	8.09058374993031	0.0092915277109903	0.0144207592336303
uc008crn.4|Vegfa	0.340860555473659	8.79896447854411	8.08797298726348	0.00930132906987199	0.0144340405507188
uc012crm.2|Gpatch4	-0.51954983220712	3.60280933657941	8.08632333559945	0.00930752810176081	0.0144399439024383
uc007dbb.1|Stx6	-0.2571174470121	6.95509838757058	8.08629830268608	0.00930762220514833	0.0144399439024383
uc007yoq.1|Hira	0.37225571746067	5.63381629120703	8.08345015819335	0.00931833577711971	0.0144534841586549
uc011xdw.1|Mcm9	-0.350914866170457	4.25287168143288	8.08331587112242	0.00931884124716859	0.0144534841586549
uc007ilh.2|Rars	0.355795958655706	5.40403991481699	8.0817546544814	0.00932472004740639	0.0144606691673425
uc007lrx.2|Itga2b	0.914512296040118	2.2765430825598	8.07973768919336	0.00933232104703656	0.014470522665878
uc009kew.1|Glrx3	-0.233981806624846	6.77580621932471	8.07929809290007	0.00933397858837016	0.0144711589472019
uc007czh.1|Rgl1	0.495461501931082	5.23289426826163	8.09491320321509	0.00933641494769094	0.0144727621665077
uc009kto.1|Snapc2	-0.384156237200226	3.94401469494305	8.0783625223611	0.0093375073324551	0.0144727621665077
uc009bas.1|AK040992	0.625961976057274	2.67424458769959	8.07187427070028	0.0093620200265605	0.0145088177331617
uc008jpw.2|Epc2	0.295621547206596	5.23748757101399	8.07135386615569	0.00936398919883945	0.0145094937391129
uc008hpj.1|Cwf19l1	0.420499256981947	3.4073965635291	8.07109808619036	0.00936495721901374	0.0145094937391129
uc008auh.2|Kctd5	-0.391172113791199	3.87630235763943	8.06504635683387	0.00938789276582047	0.0145430867505761
uc009llx.2|AI429214	0.932552034740141	2.29043155469138	8.06251209329619	0.00939751584121913	0.0145560507683441
uc007urd.1|Gpalpp1	0.246496677169326	5.61194872702678	8.05395938888458	0.00943007260642633	0.0146045291580839
uc008ope.2|Pag1	0.727425888538971	4.74938211815636	8.21322347157231	0.00943173058082542	0.0146051474615397
