ID	logFC	FDR	Direction
uc008hcx.1|Ak3	1	0.25	down
uc008hcx.1|Ak3	1	0.05	down
uc009jnb.3|Eef2k	1	0.25	up
uc009jnb.3|Eef2k	1	0.05	up
uc009jnb.3|Eef2k	0.5	0.25	up
uc009jnb.3|Eef2k	0.5	0.05	up
uc007gke.1|Chst11	1	0.25	down
uc007gke.1|Chst11	1	0.05	down
uc007gke.1|Chst11	0.5	0.05	down
uc007gke.1|Chst11	0.5	0.25	down
uc009scn.1|Myrip	0.5	0.05	down
uc009scn.1|Myrip	0.5	0.25	down
uc007jjf.2|Cenpv	0.5	0.05	up
uc007jjf.2|Cenpv	0.5	0.25	up
uc008ira.2|Tprn	0.5	0.05	up
uc008ira.2|Tprn	0.5	0.25	up
uc007ksg.2|Brip1os	0.5	0.25	up
uc007ksg.2|Brip1os	0.5	0.05	up
uc012gio.1|Nlrc5	0.5	0.05	up
uc012gio.1|Nlrc5	0.5	0.25	up
uc009snq.2|Suv39h1	0.5	0.25	up
uc009snq.2|Suv39h1	0.5	0.05	up
uc009snq.2|Suv39h1	1	0.05	up
uc009snq.2|Suv39h1	1	0.25	up
uc008dgo.3|Ralbp1	0.5	0.05	up
uc008dgo.3|Ralbp1	0.5	0.25	up
uc008ikk.2|Mrc1	0.5	0.05	up
uc008ikk.2|Mrc1	0.5	0.25	up
uc056ycm.1|Sema4c	0.5	0.05	up
uc056ycm.1|Sema4c	0.5	0.25	up
uc056ycm.1|Sema4c	1	0.25	up
uc056ycm.1|Sema4c	1	0.05	up
uc008hup.1|Pdcd11	0.5	0.25	up
uc008hup.1|Pdcd11	0.5	0.05	up
uc007mjd.1|Sap30bp	0.5	0.25	up
uc007mjd.1|Sap30bp	0.5	0.05	up
uc007uwg.1|Cln5	1	0.25	down
uc007uwg.1|Cln5	1	0.05	down
uc007uwg.1|Cln5	0.5	0.25	down
uc007uwg.1|Cln5	0.5	0.05	down
uc007kfn.2|Rnmtl1	0.5	0.05	down
uc007kfn.2|Rnmtl1	0.5	0.25	down
uc007lqs.1|Lsm12	0.5	0.25	down
uc007lqs.1|Lsm12	0.5	0.05	down
uc009rrm.2|Shisa5	0.5	0.05	up
uc009rrm.2|Shisa5	0.5	0.25	up
uc009rrm.2|Shisa5	1	0.25	up
uc009rrm.2|Shisa5	1	0.05	up
uc008kxt.2|Pex16	1	0.25	down
uc008kxt.2|Pex16	1	0.05	down
uc008kxt.2|Pex16	0.5	0.05	down
uc008kxt.2|Pex16	0.5	0.25	down
uc009aez.1|Cnpy4	1	0.05	up
uc009aez.1|Cnpy4	1	0.25	up
uc009aez.1|Cnpy4	0.5	0.25	up
uc009aez.1|Cnpy4	0.5	0.05	up
uc008pmj.2|B3galnt1	1	0.05	up
uc008pmj.2|B3galnt1	1	0.25	up
uc008pmj.2|B3galnt1	0.5	0.25	up
uc008pmj.2|B3galnt1	0.5	0.05	up
uc007ltc.1|Dcakd	1	0.25	down
uc007ltc.1|Dcakd	1	0.05	down
uc007ltc.1|Dcakd	0.5	0.25	down
uc007ltc.1|Dcakd	0.5	0.05	down
uc009mgy.2|Hmgxb4	0.5	0.05	up
uc009mgy.2|Hmgxb4	0.5	0.25	up
uc008tiw.1|Rasef	1	0.25	down
uc008tiw.1|Rasef	1	0.05	down
uc008tiw.1|Rasef	0.5	0.05	down
uc008tiw.1|Rasef	0.5	0.25	down
uc007ius.2|Cdkn2aipnl	0.5	0.05	up
